framerate = 10f
Time (us), Accel_X (mG), Accel_Y (mG), Accel_Z (mG), Gyro_X (mRad/s), Gyro_Y (mRad/s), Gyro_Z (mRad/s), Mag_X (mGauss), Mag_Y (mGauss), Mag_Z (mGauss)
6506342436, -7, -19, -1005, -5, 0, -18, 210, 245, 205
6506342436, -7, -19, -1005, -5, 0, -18, 210, 245, 205
6506442377, -1, -38, -1012, -3, 2, -21, 210, 246, 205
6506442377, -1, -38, -1012, -3, 2, -21, 210, 246, 205
6506542403, 0, -49, -1014, -1, 0, -18, 210, 246, 206
6506542403, 0, -49, -1014, -1, 0, -18, 210, 246, 206
6506642641, 7, -34, -1005, -3, 1, -3, 211, 245, 204
6506642641, 7, -34, -1005, -3, 1, -3, 211, 245, 204
6506742449, -3, -15, -995, -3, -2, 7, 211, 240, 199
6506742449, -3, -15, -995, -3, -2, 7, 211, 240, 199
6506842442, -2, -21, -995, -5, -2, 2, 211, 241, 201
6506842442, -2, -21, -995, -5, -2, 2, 211, 241, 201
6506942460, -2, -24, -1004, -3, -1, -4, 212, 248, 208
6506942460, -2, -24, -1004, -3, -1, -4, 212, 248, 208
6507042370, -6, -32, -1001, -4, 1, -7, 212, 240, 201
6507042370, -6, -32, -1001, -4, 1, -7, 212, 240, 201
6507142375, 5, -34, -1000, -3, 2, -4, 212, 249, 210
6507142375, 5, -34, -1000, -3, 2, -4, 212, 249, 210
6507247703, 1, -30, -1001, -2, 2, -1, 212, 252, 214
6507247703, 1, -30, -1001, -2, 2, -1, 212, 252, 214
6507342670, -2, -42, -998, -2, 0, -4, 213, 251, 213
6507342670, -2, -42, -998, -2, 0, -4, 213, 251, 213
6507442437, -4, -37, -996, -5, 2, -2, 213, 244, 205
6507442437, -4, -37, -996, -5, 2, -2, 213, 244, 205
6507542482, 1, -30, -999, -4, 0, 1, 213, 249, 212
6507542482, 1, -30, -999, -4, 0, 1, 213, 249, 212
6507642380, -5, -21, -994, -4, 1, 0, 213, 246, 210
6507642380, -5, -21, -994, -4, 1, 0, 213, 246, 210
6507742451, -2, -25, -998, -2, 2, -3, 213, 248, 213
6507742451, -2, -25, -998, -2, 2, -3, 213, 248, 213
6507842483, -2, -34, -997, -3, 2, -2, 213, 238, 203
6507842483, -2, -34, -997, -3, 2, -2, 213, 238, 203
6507942547, -4, -34, -1002, -2, 2, -2, 213, 236, 201
6507942547, -4, -34, -1002, -2, 2, -2, 213, 236, 201
6508042558, -1, -23, -996, -4, 4, -6, 213, 238, 202
6508042558, -1, -23, -996, -4, 4, -6, 213, 238, 202
6508142504, -5, -22, -999, -3, 1, -7, 214, 244, 210
6508142504, -5, -22, -999, -3, 1, -7, 214, 244, 210
6508242424, 0, -32, -997, -4, 2, -6, 214, 251, 218
6508242424, 0, -32, -997, -4, 2, -6, 214, 251, 218
6508342392, -2, -39, -1000, -3, 3, -6, 214, 252, 218
6508342392, -2, -39, -1000, -3, 3, -6, 214, 252, 218
6508442430, 2, -34, -1000, -4, 2, -5, 214, 251, 219
6508442430, 2, -34, -1000, -4, 2, -5, 214, 251, 219
6508542389, -1, -37, -1001, -3, 2, -4, 214, 252, 219
6508542389, -1, -37, -1001, -3, 2, -4, 214, 252, 219
6508642469, -1, -30, -996, -3, 0, -2, 214, 248, 217
6508642469, -1, -30, -996, -3, 0, -2, 214, 248, 217
6508742510, -8, -20, -1004, -3, -3, 2, 214, 251, 219
6508742510, -8, -20, -1004, -3, -3, 2, 214, 251, 219
6508842452, -9, -20, -1000, -4, 6, -7, 214, 248, 217
6508842452, -9, -20, -1000, -4, 6, -7, 214, 248, 217
6508942450, 0, -20, -998, -5, 4, -10, 214, 246, 216
6508942450, 0, -20, -998, -5, 4, -10, 214, 246, 216
6509042449, 0, -29, -1001, -5, 2, -5, 214, 246, 216
6509042449, 0, -29, -1001, -5, 2, -5, 214, 246, 216
6509142399, -3, -27, -1004, -2, 0, -2, 214, 250, 221
6509142399, -3, -27, -1004, -2, 0, -2, 214, 250, 221
6509242410, -6, -30, -1003, 0, 0, -5, 214, 252, 223
6509242410, -6, -30, -1003, 0, 0, -5, 214, 252, 223
6509342516, 0, -37, -1001, -1, 2, -8, 214, 252, 224
6509342516, 0, -37, -1001, -1, 2, -8, 214, 252, 224
6509442461, 0, -41, -1003, 0, 0, -2, 214, 252, 225
6509442461, 0, -41, -1003, 0, 0, -2, 214, 252, 225
6509542477, -6, -29, -996, -3, 1, -4, 215, 252, 225
6509542477, -6, -29, -996, -3, 1, -4, 215, 252, 225
6509642495, 0, -23, -998, -3, 3, -6, 214, 251, 225
6509642495, 0, -23, -998, -3, 3, -6, 214, 251, 225
6509742392, -1, -29, -999, -4, 1, -4, 215, 250, 225
6509742392, -1, -29, -999, -4, 1, -4, 215, 250, 225
6509842438, 0, -35, -1000, -3, 1, -4, 215, 251, 226
6509842438, 0, -35, -1000, -3, 1, -4, 215, 251, 226
6509942448, -3, -34, -1001, -3, 1, -6, 215, 243, 217
6509942448, -3, -34, -1001, -3, 1, -6, 215, 243, 217
6510042570, 0, -37, -998, -4, 3, -5, 214, 250, 225
6510042570, 0, -37, -998, -4, 3, -5, 214, 250, 225
6510142500, -1, -36, -1003, -4, 3, -5, 215, 248, 223
6510142500, -1, -36, -1003, -4, 3, -5, 215, 248, 223
6510242530, -1, -31, -996, -4, 2, -5, 214, 258, 234
6510242530, -1, -31, -996, -4, 2, -5, 214, 258, 234
6510342413, 1, -20, -996, -4, 1, -5, 214, 258, 235
6510342413, 1, -20, -996, -4, 1, -5, 214, 258, 235
